Vardas              Pavarde             ND1	   ND2	   ND3	   ND4	   ND5	   ND6	   ND7	   ND8	   ND9	   ND10	  Egz.
Vardas2437          Pavarde2437         2    	7    	3    	6    	4    	2    	4    	3    	10   	9    	7    	
Vardas2438          Pavarde2438         6    	2    	9    	2    	8    	4    	8    	7    	9    	4    	4    	
Vardas2439          Pavarde2439         7    	5    	6    	4    	8    	3    	3    	4    	5    	10   	9    	
Vardas2440          Pavarde2440         5    	5    	8    	7    	9    	8    	7    	4    	5    	1    	2    	
Vardas2441          Pavarde2441         4    	2    	1    	10   	1    	5    	8    	9    	9    	10   	9    	
Vardas2442          Pavarde2442         7    	10   	9    	3    	10   	6    	7    	5    	5    	10   	5    	
Vardas2443          Pavarde2443         5    	4    	8    	2    	10   	3    	5    	8    	1    	8    	2    	
Vardas2444          Pavarde2444         6    	1    	4    	8    	3    	7    	2    	5    	4    	2    	2    	
Vardas2445          Pavarde2445         7    	9    	1    	2    	8    	2    	8    	3    	9    	7    	10   	
Vardas2446          Pavarde2446         5    	9    	2    	2    	1    	5    	6    	5    	8    	10   	6    	
Vardas2447          Pavarde2447         8    	3    	2    	2    	3    	1    	6    	6    	5    	10   	9    	
Vardas2448          Pavarde2448         1    	5    	7    	8    	8    	8    	2    	1    	8    	2    	4    	
Vardas2449          Pavarde2449         6    	10   	6    	3    	3    	2    	3    	6    	6    	6    	8    	
Vardas2450          Pavarde2450         6    	1    	5    	10   	7    	6    	5    	6    	4    	10   	2    	
Vardas2451          Pavarde2451         2    	1    	3    	1    	10   	4    	10   	7    	3    	3    	6    	
Vardas2452          Pavarde2452         7    	5    	7    	10   	8    	9    	4    	9    	5    	9    	5    	
Vardas2453          Pavarde2453         10   	1    	5    	8    	7    	5    	4    	1    	4    	2    	2    	
Vardas2454          Pavarde2454         3    	8    	8    	1    	7    	9    	2    	3    	1    	9    	7    	
Vardas2455          Pavarde2455         5    	10   	2    	2    	8    	1    	9    	2    	7    	8    	9    	
Vardas2456          Pavarde2456         2    	4    	3    	5    	1    	2    	9    	10   	9    	7    	9    	
Vardas2457          Pavarde2457         5    	2    	8    	7    	7    	2    	6    	7    	6    	6    	8    	
Vardas2458          Pavarde2458         1    	8    	5    	10   	3    	1    	8    	7    	4    	4    	8    	
Vardas2459          Pavarde2459         1    	1    	1    	1    	2    	1    	6    	5    	6    	10   	7    	
Vardas2460          Pavarde2460         9    	2    	10   	4    	9    	8    	10   	9    	5    	5    	8    	
Vardas2461          Pavarde2461         4    	4    	3    	9    	10   	1    	7    	10   	10   	10   	9    	
Vardas2462          Pavarde2462         2    	1    	1    	5    	10   	6    	10   	7    	10   	9    	10   	
Vardas2463          Pavarde2463         9    	8    	6    	5    	1    	5    	6    	7    	9    	5    	3    	
Vardas2464          Pavarde2464         3    	6    	9    	3    	1    	8    	1    	1    	2    	5    	1    	
Vardas2465          Pavarde2465         5    	6    	8    	8    	7    	9    	4    	4    	5    	10   	3    	
Vardas2466          Pavarde2466         6    	7    	4    	9    	1    	4    	5    	8    	6    	5    	3    	
Vardas2467          Pavarde2467         10   	8    	3    	2    	6    	7    	7    	10   	4    	5    	5    	
Vardas2468          Pavarde2468         9    	10   	4    	7    	3    	8    	7    	1    	8    	4    	2    	
Vardas2469          Pavarde2469         2    	10   	9    	3    	1    	7    	5    	1    	2    	9    	1    	
Vardas2470          Pavarde2470         3    	8    	2    	10   	7    	7    	6    	1    	9    	7    	9    	
Vardas2471          Pavarde2471         5    	5    	2    	3    	1    	3    	10   	10   	7    	4    	1    	
Vardas2472          Pavarde2472         9    	7    	3    	8    	1    	6    	10   	6    	9    	7    	5    	
Vardas2473          Pavarde2473         10   	4    	10   	7    	2    	8    	9    	3    	8    	3    	9    	
Vardas2474          Pavarde2474         1    	1    	9    	5    	4    	6    	10   	8    	4    	1    	3    	
Vardas2475          Pavarde2475         8    	8    	8    	10   	4    	2    	6    	10   	6    	6    	8    	
Vardas2476          Pavarde2476         1    	5    	5    	1    	1    	5    	3    	10   	4    	6    	3    	
Vardas2477          Pavarde2477         6    	9    	4    	1    	4    	4    	5    	10   	6    	10   	10   	
Vardas2478          Pavarde2478         1    	1    	4    	10   	4    	3    	7    	9    	2    	5    	3    	
Vardas2479          Pavarde2479         1    	10   	7    	8    	7    	3    	7    	1    	8    	10   	8    	
Vardas2480          Pavarde2480         4    	6    	3    	1    	4    	2    	4    	5    	9    	4    	10   	
Vardas2481          Pavarde2481         2    	4    	10   	1    	10   	5    	10   	6    	2    	9    	4    	
Vardas2482          Pavarde2482         5    	8    	6    	6    	2    	10   	10   	10   	2    	6    	2    	
Vardas2483          Pavarde2483         5    	8    	7    	7    	9    	5    	6    	8    	4    	4    	2    	
Vardas2484          Pavarde2484         2    	8    	5    	1    	1    	3    	6    	9    	2    	10   	4    	
Vardas2485          Pavarde2485         9    	2    	9    	6    	7    	2    	10   	5    	10   	6    	9    	
Vardas2486          Pavarde2486         1    	5    	1    	2    	7    	7    	7    	9    	7    	9    	6    	
Vardas2487          Pavarde2487         7    	3    	1    	5    	2    	7    	4    	1    	7    	8    	6    	
Vardas2488          Pavarde2488         4    	10   	3    	3    	9    	5    	1    	2    	10   	3    	8    	
Vardas2489          Pavarde2489         4    	4    	3    	3    	3    	9    	8    	10   	1    	4    	2    	
Vardas2490          Pavarde2490         2    	8    	2    	7    	2    	10   	5    	2    	1    	6    	6    	
Vardas2491          Pavarde2491         9    	3    	7    	7    	9    	10   	4    	5    	9    	9    	4    	
Vardas2492          Pavarde2492         6    	6    	6    	8    	10   	8    	6    	9    	1    	3    	5    	
Vardas2493          Pavarde2493         2    	5    	9    	10   	7    	3    	4    	9    	1    	8    	3    	
Vardas2494          Pavarde2494         8    	3    	6    	3    	8    	8    	4    	5    	3    	6    	3    	
Vardas2495          Pavarde2495         8    	6    	4    	1    	3    	5    	6    	4    	4    	1    	4    	
Vardas2496          Pavarde2496         4    	8    	5    	10   	9    	4    	1    	8    	4    	5    	10   	
Vardas2497          Pavarde2497         4    	10   	7    	1    	10   	2    	3    	6    	2    	3    	5    	
Vardas2498          Pavarde2498         7    	5    	1    	3    	8    	10   	9    	4    	6    	6    	2    	
Vardas2499          Pavarde2499         1    	1    	9    	2    	10   	10   	5    	2    	9    	10   	4    	
Vardas2500          Pavarde2500         8    	7    	3    	8    	5    	4    	3    	3    	6    	6    	4    	
Vardas2501          Pavarde2501         1    	10   	5    	7    	8    	7    	10   	8    	9    	1    	10   	
Vardas2502          Pavarde2502         4    	2    	8    	8    	8    	3    	7    	6    	4    	5    	8    	
Vardas2503          Pavarde2503         3    	10   	2    	1    	1    	10   	3    	10   	1    	2    	10   	
Vardas2504          Pavarde2504         10   	2    	5    	7    	8    	4    	10   	4    	1    	6    	1    	
Vardas2505          Pavarde2505         1    	9    	5    	2    	7    	4    	8    	8    	2    	5    	9    	
Vardas2506          Pavarde2506         9    	9    	10   	3    	4    	7    	6    	4    	2    	7    	1    	
Vardas2507          Pavarde2507         10   	8    	10   	8    	8    	1    	10   	2    	9    	3    	5    	
Vardas2508          Pavarde2508         1    	3    	1    	4    	9    	5    	1    	10   	5    	4    	9    	
Vardas2509          Pavarde2509         5    	7    	7    	8    	7    	9    	3    	6    	8    	2    	10   	
Vardas2510          Pavarde2510         6    	2    	9    	3    	1    	9    	4    	2    	10   	5    	6    	
Vardas2511          Pavarde2511         2    	4    	8    	3    	2    	9    	7    	6    	9    	7    	5    	
Vardas2512          Pavarde2512         8    	1    	7    	3    	1    	8    	2    	5    	3    	4    	5    	
Vardas2513          Pavarde2513         10   	1    	7    	9    	4    	9    	7    	3    	8    	9    	8    	
Vardas2514          Pavarde2514         10   	1    	1    	6    	6    	6    	8    	5    	7    	10   	1    	
Vardas2515          Pavarde2515         7    	7    	6    	10   	1    	6    	5    	8    	10   	6    	2    	
Vardas2516          Pavarde2516         5    	3    	4    	4    	4    	7    	3    	7    	8    	2    	8    	
Vardas2517          Pavarde2517         8    	1    	9    	2    	7    	2    	5    	3    	8    	8    	10   	
Vardas2518          Pavarde2518         8    	3    	6    	10   	7    	4    	5    	6    	10   	4    	7    	
Vardas2519          Pavarde2519         2    	5    	1    	3    	1    	6    	10   	7    	7    	4    	5    	
Vardas2520          Pavarde2520         2    	2    	3    	8    	7    	1    	10   	5    	9    	2    	4    	
Vardas2521          Pavarde2521         8    	6    	1    	3    	1    	6    	9    	2    	1    	6    	8    	
Vardas2522          Pavarde2522         5    	1    	10   	3    	7    	7    	10   	9    	5    	9    	10   	
Vardas2523          Pavarde2523         10   	9    	10   	1    	3    	9    	6    	1    	5    	9    	8    	
Vardas2524          Pavarde2524         3    	7    	9    	7    	9    	2    	6    	6    	9    	9    	3    	
Vardas2525          Pavarde2525         2    	5    	10   	7    	1    	2    	5    	10   	1    	3    	10   	
Vardas2526          Pavarde2526         3    	9    	10   	1    	6    	5    	8    	9    	3    	3    	10   	
Vardas2527          Pavarde2527         1    	5    	1    	1    	8    	4    	3    	1    	3    	9    	5    	
Vardas2528          Pavarde2528         1    	9    	3    	8    	6    	6    	10   	10   	10   	7    	2    	
Vardas2529          Pavarde2529         5    	9    	7    	8    	2    	2    	4    	9    	10   	5    	10   	
Vardas2530          Pavarde2530         7    	6    	4    	1    	10   	9    	1    	2    	3    	7    	8    	
Vardas2531          Pavarde2531         9    	2    	3    	4    	3    	8    	5    	1    	6    	8    	10   	
Vardas2532          Pavarde2532         5    	8    	3    	9    	6    	10   	4    	5    	10   	3    	7    	
Vardas2533          Pavarde2533         9    	1    	1    	2    	10   	7    	2    	6    	7    	6    	4    	
Vardas2534          Pavarde2534         9    	6    	5    	10   	8    	8    	9    	5    	10   	8    	5    	
Vardas2535          Pavarde2535         5    	3    	1    	5    	6    	7    	9    	1    	7    	2    	7    	
Vardas2536          Pavarde2536         9    	10   	8    	6    	3    	7    	1    	2    	8    	9    	1    	
Vardas2537          Pavarde2537         8    	10   	10   	9    	7    	10   	6    	9    	3    	10   	3    	
Vardas2538          Pavarde2538         10   	3    	1    	5    	10   	5    	4    	3    	3    	3    	5    	
Vardas2539          Pavarde2539         10   	7    	1    	10   	8    	2    	10   	9    	5    	9    	4    	
Vardas2540          Pavarde2540         2    	4    	8    	6    	8    	9    	1    	4    	4    	4    	1    	
Vardas2541          Pavarde2541         4    	7    	10   	7    	10   	5    	10   	1    	8    	3    	8    	
Vardas2542          Pavarde2542         7    	10   	3    	7    	6    	5    	3    	9    	5    	7    	7    	
Vardas2543          Pavarde2543         9    	1    	3    	3    	1    	4    	2    	10   	9    	5    	6    	
Vardas2544          Pavarde2544         9    	1    	1    	2    	2    	5    	8    	9    	3    	4    	9    	
Vardas2545          Pavarde2545         4    	4    	2    	1    	2    	6    	3    	1    	10   	8    	4    	
Vardas2546          Pavarde2546         2    	9    	6    	7    	8    	5    	8    	8    	2    	1    	8    	
Vardas2547          Pavarde2547         5    	6    	8    	3    	4    	6    	7    	5    	5    	9    	3    	
Vardas2548          Pavarde2548         3    	10   	4    	10   	5    	2    	4    	2    	1    	1    	8    	
Vardas2549          Pavarde2549         6    	1    	5    	3    	4    	7    	2    	9    	1    	1    	9    	
Vardas2550          Pavarde2550         5    	3    	9    	9    	9    	9    	4    	8    	1    	7    	10   	
Vardas2551          Pavarde2551         8    	2    	7    	5    	6    	4    	2    	6    	4    	10   	10   	
Vardas2552          Pavarde2552         10   	1    	8    	5    	7    	1    	2    	6    	2    	7    	8    	
Vardas2553          Pavarde2553         8    	7    	5    	6    	10   	2    	2    	4    	10   	5    	3    	
Vardas2554          Pavarde2554         9    	5    	4    	3    	10   	3    	4    	5    	8    	8    	2    	
Vardas2555          Pavarde2555         6    	6    	7    	3    	2    	8    	7    	4    	2    	5    	7    	
Vardas2556          Pavarde2556         4    	1    	3    	4    	6    	8    	5    	6    	8    	5    	3    	
Vardas2557          Pavarde2557         1    	9    	6    	2    	6    	6    	7    	1    	8    	8    	1    	
Vardas2558          Pavarde2558         9    	6    	5    	9    	7    	5    	9    	5    	1    	10   	9    	
Vardas2559          Pavarde2559         10   	9    	4    	2    	10   	1    	10   	6    	1    	5    	2    	
Vardas2560          Pavarde2560         2    	1    	10   	8    	1    	7    	10   	1    	1    	9    	5    	
Vardas2561          Pavarde2561         4    	9    	4    	2    	3    	9    	9    	7    	8    	5    	8    	
Vardas2562          Pavarde2562         2    	4    	6    	6    	4    	1    	5    	8    	6    	10   	9    	
Vardas2563          Pavarde2563         8    	6    	6    	6    	3    	8    	7    	2    	2    	1    	2    	
Vardas2564          Pavarde2564         2    	8    	8    	5    	9    	2    	5    	7    	7    	8    	5    	
Vardas2565          Pavarde2565         6    	7    	9    	8    	8    	5    	5    	7    	4    	7    	4    	
Vardas2566          Pavarde2566         8    	5    	5    	9    	4    	7    	1    	8    	3    	2    	7    	
Vardas2567          Pavarde2567         7    	6    	6    	2    	9    	5    	10   	3    	9    	3    	8    	
Vardas2568          Pavarde2568         7    	5    	4    	7    	1    	4    	7    	6    	2    	5    	1    	
Vardas2569          Pavarde2569         9    	9    	9    	6    	9    	6    	6    	7    	4    	1    	8    	
Vardas2570          Pavarde2570         7    	8    	3    	5    	9    	10   	8    	1    	4    	10   	8    	
Vardas2571          Pavarde2571         3    	3    	8    	4    	8    	5    	3    	7    	8    	3    	7    	
Vardas2572          Pavarde2572         1    	8    	7    	7    	10   	7    	2    	1    	9    	4    	5    	
Vardas2573          Pavarde2573         9    	1    	4    	1    	10   	10   	1    	1    	4    	6    	7    	
Vardas2574          Pavarde2574         3    	8    	6    	9    	10   	8    	2    	5    	4    	7    	9    	
Vardas2575          Pavarde2575         3    	4    	3    	6    	1    	10   	7    	5    	1    	1    	8    	
Vardas2576          Pavarde2576         10   	5    	2    	9    	8    	10   	7    	3    	2    	7    	7    	
Vardas2577          Pavarde2577         2    	9    	3    	7    	4    	1    	2    	3    	10   	1    	1    	
Vardas2578          Pavarde2578         10   	5    	4    	10   	8    	2    	9    	2    	3    	6    	2    	
Vardas2579          Pavarde2579         4    	7    	10   	1    	4    	2    	10   	7    	2    	6    	2    	
Vardas2580          Pavarde2580         8    	1    	9    	5    	5    	8    	8    	8    	9    	6    	5    	
Vardas2581          Pavarde2581         10   	1    	4    	10   	1    	8    	6    	10   	4    	1    	5    	
Vardas2582          Pavarde2582         9    	2    	4    	5    	5    	8    	5    	3    	2    	6    	2    	
Vardas2583          Pavarde2583         3    	7    	8    	8    	1    	10   	7    	7    	3    	4    	4    	
Vardas2584          Pavarde2584         6    	1    	2    	7    	9    	8    	2    	4    	5    	8    	2    	
Vardas2585          Pavarde2585         4    	10   	4    	7    	4    	2    	6    	10   	10   	3    	7    	
Vardas2586          Pavarde2586         9    	9    	5    	4    	6    	5    	5    	10   	1    	9    	7    	
Vardas2587          Pavarde2587         3    	5    	5    	1    	10   	4    	3    	10   	3    	8    	1    	
Vardas2588          Pavarde2588         8    	6    	1    	6    	5    	9    	2    	4    	5    	6    	3    	
Vardas2589          Pavarde2589         5    	5    	5    	4    	7    	9    	5    	1    	8    	2    	6    	
Vardas2590          Pavarde2590         4    	1    	10   	8    	10   	1    	2    	7    	10   	6    	10   	
Vardas2591          Pavarde2591         9    	5    	10   	3    	4    	7    	3    	4    	2    	3    	10   	
Vardas2592          Pavarde2592         6    	7    	10   	1    	3    	5    	6    	4    	1    	4    	6    	
Vardas2593          Pavarde2593         2    	6    	10   	5    	9    	1    	7    	9    	8    	2    	5    	
Vardas2594          Pavarde2594         7    	4    	7    	3    	7    	2    	10   	10   	8    	8    	3    	
Vardas2595          Pavarde2595         8    	7    	8    	4    	5    	8    	6    	10   	9    	3    	8    	
Vardas2596          Pavarde2596         5    	10   	6    	5    	5    	4    	6    	5    	1    	2    	10   	
Vardas2597          Pavarde2597         2    	1    	5    	9    	8    	3    	4    	8    	6    	3    	5    	
Vardas2598          Pavarde2598         1    	1    	5    	3    	2    	9    	10   	9    	7    	6    	10   	
Vardas2599          Pavarde2599         9    	9    	2    	6    	5    	5    	1    	10   	6    	7    	6    	
Vardas2600          Pavarde2600         8    	9    	4    	7    	5    	8    	4    	8    	4    	2    	6    	
Vardas2601          Pavarde2601         8    	2    	7    	5    	5    	9    	1    	4    	9    	6    	10   	
Vardas2602          Pavarde2602         9    	4    	2    	7    	5    	9    	2    	5    	8    	3    	8    	
Vardas2603          Pavarde2603         1    	10   	10   	9    	5    	9    	2    	10   	3    	5    	2    	
Vardas2604          Pavarde2604         10   	4    	8    	1    	10   	9    	8    	2    	7    	6    	6    	
Vardas2605          Pavarde2605         10   	2    	2    	2    	6    	10   	7    	1    	2    	6    	7    	
Vardas2606          Pavarde2606         8    	10   	7    	10   	9    	4    	2    	10   	3    	2    	7    	
Vardas2607          Pavarde2607         4    	7    	7    	6    	10   	7    	9    	7    	1    	3    	2    	
Vardas2608          Pavarde2608         2    	4    	9    	5    	3    	2    	3    	6    	10   	6    	7    	
Vardas2609          Pavarde2609         7    	4    	6    	4    	7    	1    	6    	1    	9    	10   	9    	
Vardas2610          Pavarde2610         6    	6    	8    	6    	6    	8    	4    	5    	5    	5    	9    	
Vardas2611          Pavarde2611         5    	5    	2    	10   	10   	3    	8    	4    	10   	1    	1    	
Vardas2612          Pavarde2612         3    	3    	2    	6    	9    	7    	7    	5    	9    	10   	1    	
Vardas2613          Pavarde2613         1    	2    	6    	6    	4    	5    	9    	2    	9    	1    	2    	
Vardas2614          Pavarde2614         4    	4    	5    	9    	10   	2    	8    	6    	4    	6    	6    	
Vardas2615          Pavarde2615         4    	4    	10   	3    	8    	5    	9    	1    	10   	9    	6    	
Vardas2616          Pavarde2616         7    	6    	6    	2    	4    	6    	9    	7    	7    	6    	7    	
Vardas2617          Pavarde2617         5    	2    	1    	1    	9    	10   	9    	4    	10   	8    	4    	
Vardas2618          Pavarde2618         3    	4    	3    	1    	7    	1    	1    	8    	3    	6    	7    	
Vardas2619          Pavarde2619         3    	7    	6    	8    	4    	8    	1    	6    	10   	10   	8    	
Vardas2620          Pavarde2620         7    	2    	4    	10   	4    	6    	9    	2    	7    	3    	6    	
Vardas2621          Pavarde2621         3    	6    	5    	3    	3    	1    	5    	3    	3    	4    	6    	
Vardas2622          Pavarde2622         2    	9    	2    	9    	9    	8    	3    	9    	8    	2    	7    	
Vardas2623          Pavarde2623         5    	2    	8    	1    	2    	1    	1    	9    	2    	2    	8    	
Vardas2624          Pavarde2624         7    	8    	6    	1    	2    	10   	6    	3    	5    	7    	4    	
Vardas2625          Pavarde2625         2    	9    	4    	4    	7    	4    	4    	3    	3    	5    	7    	
Vardas2626          Pavarde2626         6    	4    	5    	3    	5    	8    	3    	9    	1    	8    	2    	
Vardas2627          Pavarde2627         4    	5    	5    	4    	1    	7    	10   	8    	3    	3    	6    	
Vardas2628          Pavarde2628         2    	6    	7    	8    	9    	6    	3    	8    	7    	3    	5    	
Vardas2629          Pavarde2629         2    	1    	5    	9    	7    	1    	3    	5    	10   	1    	2    	
Vardas2630          Pavarde2630         5    	4    	2    	8    	7    	10   	9    	2    	6    	6    	4    	
Vardas2631          Pavarde2631         5    	4    	6    	3    	2    	9    	9    	8    	5    	7    	3    	
Vardas2632          Pavarde2632         5    	8    	5    	10   	5    	5    	9    	2    	4    	7    	9    	
Vardas2633          Pavarde2633         2    	7    	6    	7    	6    	3    	7    	5    	1    	10   	8    	
Vardas2634          Pavarde2634         10   	1    	3    	10   	3    	3    	1    	8    	1    	5    	5    	
Vardas2635          Pavarde2635         2    	6    	2    	10   	3    	6    	6    	10   	7    	4    	1    	
Vardas2636          Pavarde2636         9    	5    	8    	2    	4    	8    	6    	2    	1    	4    	3    	
Vardas2637          Pavarde2637         2    	5    	3    	6    	5    	10   	9    	5    	8    	1    	4    	
Vardas2638          Pavarde2638         4    	7    	9    	9    	5    	10   	2    	5    	7    	1    	9    	
Vardas2639          Pavarde2639         3    	2    	5    	5    	5    	2    	10   	10   	3    	9    	9    	
Vardas2640          Pavarde2640         1    	1    	4    	10   	4    	10   	7    	6    	2    	6    	1    	
Vardas2641          Pavarde2641         5    	9    	2    	3    	4    	5    	2    	4    	9    	3    	1    	
Vardas2642          Pavarde2642         9    	5    	9    	6    	10   	4    	2    	6    	9    	9    	5    	
Vardas2643          Pavarde2643         7    	7    	8    	3    	9    	4    	4    	1    	6    	1    	8    	
Vardas2644          Pavarde2644         10   	1    	1    	7    	1    	3    	2    	5    	2    	4    	6    	
Vardas2645          Pavarde2645         2    	6    	9    	5    	8    	3    	2    	7    	5    	3    	5    	
Vardas2646          Pavarde2646         8    	4    	9    	4    	2    	1    	9    	4    	3    	10   	10   	
Vardas2647          Pavarde2647         8    	5    	1    	3    	9    	10   	3    	6    	7    	8    	6    	
Vardas2648          Pavarde2648         4    	4    	2    	1    	10   	8    	5    	5    	2    	8    	7    	
Vardas2649          Pavarde2649         7    	3    	2    	3    	4    	3    	1    	8    	9    	4    	9    	
Vardas2650          Pavarde2650         2    	3    	6    	4    	2    	10   	1    	2    	5    	2    	5    	
Vardas2651          Pavarde2651         2    	1    	9    	9    	5    	8    	8    	2    	4    	8    	3    	
Vardas2652          Pavarde2652         7    	2    	1    	8    	9    	2    	8    	3    	10   	3    	3    	
Vardas2653          Pavarde2653         9    	8    	3    	3    	3    	1    	5    	2    	3    	9    	10   	
Vardas2654          Pavarde2654         10   	3    	1    	8    	8    	7    	3    	6    	9    	2    	5    	
Vardas2655          Pavarde2655         1    	5    	2    	10   	9    	8    	10   	2    	4    	5    	2    	
Vardas2656          Pavarde2656         7    	9    	8    	2    	8    	7    	6    	6    	7    	1    	10   	
Vardas2657          Pavarde2657         1    	8    	8    	3    	4    	8    	1    	8    	5    	9    	10   	
Vardas2658          Pavarde2658         6    	2    	5    	7    	2    	6    	1    	6    	10   	3    	3    	
Vardas2659          Pavarde2659         8    	7    	10   	6    	1    	8    	8    	7    	4    	7    	6    	
Vardas2660          Pavarde2660         1    	4    	1    	4    	8    	7    	8    	2    	2    	6    	7    	
Vardas2661          Pavarde2661         7    	8    	9    	2    	2    	5    	4    	5    	4    	6    	4    	
Vardas2662          Pavarde2662         9    	2    	10   	3    	1    	3    	1    	4    	3    	2    	6    	
Vardas2663          Pavarde2663         7    	4    	2    	5    	2    	2    	2    	6    	9    	7    	3    	
Vardas2664          Pavarde2664         2    	3    	10   	6    	2    	9    	8    	9    	4    	3    	2    	
Vardas2665          Pavarde2665         5    	2    	4    	7    	9    	2    	3    	10   	1    	9    	1    	
Vardas2666          Pavarde2666         2    	4    	7    	7    	2    	2    	5    	2    	5    	2    	10   	
Vardas2667          Pavarde2667         4    	10   	2    	8    	5    	4    	7    	1    	5    	7    	8    	
Vardas2668          Pavarde2668         6    	8    	8    	9    	7    	3    	7    	1    	10   	5    	8    	
Vardas2669          Pavarde2669         5    	6    	4    	8    	5    	7    	7    	9    	1    	4    	7    	
Vardas2670          Pavarde2670         7    	6    	8    	6    	10   	7    	4    	3    	4    	10   	1    	
Vardas2671          Pavarde2671         9    	1    	10   	4    	4    	6    	5    	1    	5    	2    	1    	
Vardas2672          Pavarde2672         3    	7    	4    	5    	8    	1    	7    	3    	10   	7    	9    	
Vardas2673          Pavarde2673         6    	5    	2    	10   	3    	6    	10   	9    	1    	9    	2    	
Vardas2674          Pavarde2674         2    	2    	10   	2    	10   	4    	8    	1    	1    	1    	7    	
Vardas2675          Pavarde2675         3    	5    	2    	7    	10   	10   	10   	8    	10   	4    	3    	
Vardas2676          Pavarde2676         1    	8    	5    	6    	1    	5    	6    	6    	2    	6    	3    	
Vardas2677          Pavarde2677         3    	2    	4    	8    	7    	1    	5    	1    	1    	9    	10   	
Vardas2678          Pavarde2678         5    	8    	7    	10   	8    	7    	2    	9    	4    	4    	5    	
Vardas2679          Pavarde2679         9    	2    	9    	9    	7    	2    	8    	5    	9    	9    	8    	
Vardas2680          Pavarde2680         9    	8    	8    	2    	1    	4    	6    	1    	4    	7    	3    	
Vardas2681          Pavarde2681         2    	5    	5    	5    	8    	4    	2    	6    	7    	2    	6    	
Vardas2682          Pavarde2682         4    	5    	9    	4    	9    	4    	10   	8    	7    	3    	10   	
Vardas2683          Pavarde2683         7    	10   	5    	2    	1    	8    	6    	10   	6    	9    	4    	
Vardas2684          Pavarde2684         9    	6    	8    	9    	1    	2    	3    	4    	4    	10   	10   	
Vardas2685          Pavarde2685         2    	1    	4    	3    	4    	7    	6    	4    	4    	1    	8    	
Vardas2686          Pavarde2686         9    	2    	4    	3    	7    	3    	3    	2    	7    	1    	2    	
Vardas2687          Pavarde2687         7    	8    	7    	3    	4    	1    	1    	10   	1    	2    	7    	
Vardas2688          Pavarde2688         9    	3    	3    	4    	3    	8    	10   	2    	8    	2    	3    	
Vardas2689          Pavarde2689         10   	5    	5    	3    	5    	2    	2    	10   	5    	10   	6    	
Vardas2690          Pavarde2690         6    	4    	7    	9    	3    	2    	3    	3    	3    	1    	2    	
Vardas2691          Pavarde2691         9    	7    	5    	8    	6    	6    	2    	10   	7    	10   	8    	
Vardas2692          Pavarde2692         7    	9    	10   	7    	4    	1    	4    	8    	2    	1    	9    	
Vardas2693          Pavarde2693         2    	10   	10   	9    	4    	9    	10   	8    	7    	4    	5    	
Vardas2694          Pavarde2694         2    	1    	5    	7    	2    	7    	6    	3    	2    	2    	7    	
Vardas2695          Pavarde2695         7    	2    	10   	7    	7    	5    	1    	9    	9    	3    	6    	
Vardas2696          Pavarde2696         5    	9    	5    	9    	5    	3    	1    	8    	5    	4    	3    	
Vardas2697          Pavarde2697         6    	4    	4    	8    	1    	1    	5    	2    	6    	8    	3    	
Vardas2698          Pavarde2698         8    	10   	1    	5    	5    	4    	10   	4    	1    	9    	7    	
Vardas2699          Pavarde2699         9    	8    	10   	7    	10   	1    	5    	9    	5    	2    	5    	
Vardas2700          Pavarde2700         3    	8    	6    	4    	2    	10   	9    	10   	10   	3    	1    	
Vardas2701          Pavarde2701         8    	10   	1    	10   	6    	9    	5    	9    	1    	1    	6    	
Vardas2702          Pavarde2702         8    	2    	6    	10   	6    	6    	8    	9    	1    	8    	3    	
Vardas2703          Pavarde2703         5    	8    	7    	3    	2    	2    	1    	7    	3    	9    	5    	
Vardas2704          Pavarde2704         5    	9    	9    	10   	3    	5    	5    	3    	1    	8    	5    	
Vardas2705          Pavarde2705         4    	8    	7    	5    	10   	2    	4    	4    	3    	8    	4    	
Vardas2706          Pavarde2706         5    	7    	7    	2    	10   	6    	2    	1    	5    	8    	1    	
Vardas2707          Pavarde2707         9    	4    	5    	4    	9    	5    	3    	9    	8    	6    	7    	
Vardas2708          Pavarde2708         4    	7    	8    	3    	1    	4    	9    	4    	10   	7    	9    	
Vardas2709          Pavarde2709         9    	1    	5    	1    	3    	5    	3    	6    	3    	6    	6    	
Vardas2710          Pavarde2710         3    	4    	2    	6    	6    	4    	7    	5    	10   	8    	5    	
Vardas2711          Pavarde2711         3    	2    	5    	4    	2    	9    	6    	1    	10   	6    	2    	
Vardas2712          Pavarde2712         10   	3    	4    	3    	8    	10   	2    	6    	3    	1    	8    	
Vardas2713          Pavarde2713         4    	7    	10   	4    	7    	8    	7    	8    	10   	8    	8    	
Vardas2714          Pavarde2714         9    	3    	6    	9    	1    	9    	2    	6    	1    	3    	10   	
Vardas2715          Pavarde2715         3    	5    	4    	1    	4    	7    	2    	6    	10   	9    	4    	
Vardas2716          Pavarde2716         10   	8    	10   	3    	9    	4    	3    	1    	9    	1    	4    	
Vardas2717          Pavarde2717         1    	5    	8    	5    	7    	7    	10   	4    	5    	9    	9    	
Vardas2718          Pavarde2718         10   	9    	10   	9    	10   	8    	8    	5    	6    	2    	8    	
Vardas2719          Pavarde2719         8    	3    	3    	7    	5    	10   	8    	9    	2    	2    	2    	
Vardas2720          Pavarde2720         10   	2    	3    	10   	5    	8    	6    	2    	3    	3    	1    	
