Vardas              Pavarde             ND1	   ND2	   ND3	   ND4	   ND5	   ND6	   ND7	   ND8	   ND9	   ND10	  Egz.
Vardas296           Pavarde296          1    	2    	10   	2    	2    	1    	7    	3    	4    	10   	7    	
Vardas297           Pavarde297          7    	7    	2    	8    	2    	10   	1    	1    	2    	5    	1    	
Vardas298           Pavarde298          5    	6    	6    	6    	4    	5    	9    	6    	3    	5    	1    	
Vardas299           Pavarde299          1    	3    	4    	10   	4    	9    	9    	3    	4    	5    	6    	
Vardas300           Pavarde300          6    	7    	3    	4    	2    	7    	10   	2    	6    	2    	3    	
Vardas301           Pavarde301          1    	6    	10   	9    	5    	7    	1    	5    	6    	10   	7    	
Vardas302           Pavarde302          5    	7    	1    	2    	4    	8    	10   	6    	2    	2    	1    	
Vardas303           Pavarde303          5    	8    	2    	9    	6    	7    	3    	9    	10   	8    	8    	
Vardas304           Pavarde304          1    	3    	5    	10   	1    	1    	10   	8    	4    	9    	7    	
Vardas305           Pavarde305          10   	2    	6    	10   	10   	4    	9    	8    	6    	4    	4    	
Vardas306           Pavarde306          4    	7    	2    	3    	3    	9    	5    	1    	10   	8    	2    	
Vardas307           Pavarde307          10   	8    	9    	1    	5    	5    	10   	5    	2    	7    	7    	
Vardas308           Pavarde308          5    	3    	5    	1    	5    	7    	5    	6    	2    	4    	4    	
Vardas309           Pavarde309          6    	8    	1    	3    	10   	4    	1    	10   	1    	3    	8    	
Vardas310           Pavarde310          9    	3    	5    	9    	8    	3    	4    	1    	6    	5    	7    	
Vardas311           Pavarde311          6    	4    	4    	10   	4    	7    	9    	6    	5    	5    	6    	
Vardas312           Pavarde312          3    	1    	9    	5    	4    	3    	8    	8    	5    	3    	2    	
Vardas313           Pavarde313          9    	1    	4    	3    	10   	4    	2    	9    	5    	3    	5    	
Vardas314           Pavarde314          6    	1    	4    	7    	2    	2    	5    	2    	1    	10   	10   	
Vardas315           Pavarde315          4    	8    	2    	10   	9    	1    	8    	9    	6    	1    	8    	
Vardas316           Pavarde316          9    	5    	10   	6    	5    	2    	1    	7    	7    	6    	5    	
Vardas317           Pavarde317          7    	7    	5    	5    	2    	4    	5    	6    	1    	7    	8    	
Vardas318           Pavarde318          6    	9    	9    	6    	6    	2    	8    	8    	9    	1    	3    	
Vardas319           Pavarde319          6    	3    	4    	4    	5    	5    	4    	6    	5    	9    	5    	
Vardas320           Pavarde320          7    	4    	5    	9    	6    	8    	2    	4    	9    	7    	10   	
Vardas321           Pavarde321          5    	4    	10   	8    	9    	8    	4    	8    	10   	1    	2    	
Vardas322           Pavarde322          6    	5    	6    	7    	4    	9    	3    	10   	2    	1    	2    	
Vardas323           Pavarde323          7    	4    	1    	8    	3    	4    	5    	3    	8    	7    	7    	
Vardas324           Pavarde324          10   	3    	5    	10   	4    	2    	1    	2    	8    	6    	9    	
Vardas325           Pavarde325          3    	10   	9    	1    	3    	2    	5    	8    	8    	7    	1    	
Vardas326           Pavarde326          7    	3    	3    	4    	3    	9    	8    	7    	2    	3    	2    	
Vardas327           Pavarde327          1    	2    	10   	10   	10   	9    	7    	2    	5    	6    	4    	
Vardas328           Pavarde328          6    	8    	10   	8    	1    	1    	10   	7    	2    	5    	3    	
Vardas329           Pavarde329          1    	3    	2    	8    	4    	1    	1    	7    	7    	10   	3    	
Vardas330           Pavarde330          9    	3    	2    	9    	4    	4    	9    	9    	4    	3    	4    	
Vardas331           Pavarde331          8    	1    	8    	7    	6    	2    	8    	5    	3    	5    	1    	
Vardas332           Pavarde332          1    	2    	1    	2    	3    	9    	5    	1    	3    	9    	5    	
Vardas333           Pavarde333          9    	2    	10   	10   	4    	5    	10   	9    	8    	9    	6    	
Vardas334           Pavarde334          5    	4    	9    	6    	7    	4    	4    	9    	6    	5    	3    	
Vardas335           Pavarde335          7    	6    	3    	6    	7    	4    	4    	6    	10   	9    	3    	
Vardas336           Pavarde336          9    	7    	3    	8    	4    	8    	4    	6    	1    	5    	2    	
Vardas337           Pavarde337          5    	4    	9    	4    	8    	6    	6    	3    	10   	3    	3    	
Vardas338           Pavarde338          1    	8    	7    	4    	9    	1    	8    	5    	8    	5    	5    	
Vardas339           Pavarde339          5    	1    	1    	2    	3    	1    	5    	4    	1    	6    	6    	
Vardas340           Pavarde340          3    	5    	3    	8    	4    	2    	8    	4    	10   	9    	9    	
Vardas341           Pavarde341          10   	2    	4    	7    	6    	2    	4    	7    	7    	6    	5    	
Vardas342           Pavarde342          3    	9    	6    	4    	6    	10   	10   	1    	1    	3    	3    	
Vardas343           Pavarde343          9    	3    	8    	10   	4    	2    	10   	4    	1    	2    	2    	
Vardas344           Pavarde344          10   	3    	10   	9    	4    	1    	8    	8    	8    	10   	8    	
Vardas345           Pavarde345          8    	10   	7    	9    	10   	1    	7    	9    	10   	8    	5    	
Vardas346           Pavarde346          9    	10   	3    	2    	6    	4    	6    	7    	3    	8    	6    	
Vardas347           Pavarde347          4    	9    	4    	7    	4    	1    	6    	3    	4    	8    	8    	
Vardas348           Pavarde348          3    	3    	3    	1    	9    	7    	3    	3    	6    	7    	6    	
Vardas349           Pavarde349          7    	3    	7    	2    	5    	10   	1    	3    	10   	1    	3    	
Vardas350           Pavarde350          7    	9    	7    	4    	10   	4    	8    	10   	2    	5    	2    	
Vardas351           Pavarde351          3    	3    	7    	2    	1    	2    	4    	3    	5    	1    	5    	
Vardas352           Pavarde352          9    	6    	1    	2    	6    	5    	7    	7    	7    	3    	5    	
Vardas353           Pavarde353          7    	9    	2    	7    	4    	4    	4    	8    	4    	2    	5    	
Vardas354           Pavarde354          10   	6    	3    	5    	4    	2    	6    	8    	5    	10   	10   	
Vardas355           Pavarde355          3    	1    	2    	8    	10   	8    	10   	3    	7    	4    	3    	
Vardas356           Pavarde356          8    	7    	5    	7    	6    	9    	10   	7    	3    	7    	5    	
Vardas357           Pavarde357          1    	9    	4    	5    	6    	8    	5    	7    	7    	5    	1    	
Vardas358           Pavarde358          9    	6    	5    	10   	10   	8    	10   	1    	3    	5    	4    	
Vardas359           Pavarde359          4    	7    	6    	2    	6    	7    	5    	5    	1    	9    	7    	
Vardas360           Pavarde360          3    	10   	9    	3    	7    	9    	3    	7    	2    	5    	2    	
Vardas361           Pavarde361          5    	6    	8    	6    	7    	6    	7    	9    	6    	2    	3    	
Vardas362           Pavarde362          1    	9    	4    	9    	2    	7    	6    	3    	5    	4    	4    	
Vardas363           Pavarde363          8    	2    	8    	2    	5    	6    	10   	8    	8    	10   	9    	
Vardas364           Pavarde364          7    	10   	9    	2    	6    	4    	9    	6    	7    	7    	5    	
Vardas365           Pavarde365          9    	7    	10   	8    	3    	3    	7    	9    	1    	1    	5    	
Vardas366           Pavarde366          3    	10   	5    	2    	4    	5    	2    	10   	10   	9    	8    	
Vardas367           Pavarde367          7    	5    	6    	9    	2    	7    	6    	1    	8    	8    	5    	
Vardas368           Pavarde368          2    	7    	4    	5    	8    	4    	7    	3    	7    	8    	6    	
Vardas369           Pavarde369          4    	10   	6    	8    	2    	2    	4    	10   	4    	4    	2    	
Vardas370           Pavarde370          10   	6    	8    	4    	8    	6    	9    	2    	2    	7    	4    	
Vardas371           Pavarde371          7    	5    	4    	3    	1    	7    	2    	1    	7    	10   	9    	
Vardas372           Pavarde372          2    	3    	1    	1    	5    	9    	6    	5    	4    	8    	7    	
Vardas373           Pavarde373          8    	1    	4    	2    	6    	9    	8    	6    	7    	2    	7    	
Vardas374           Pavarde374          3    	9    	7    	5    	8    	9    	5    	2    	7    	8    	1    	
Vardas375           Pavarde375          9    	1    	3    	7    	10   	7    	7    	9    	5    	10   	5    	
Vardas376           Pavarde376          1    	8    	8    	6    	9    	2    	2    	10   	7    	4    	7    	
Vardas377           Pavarde377          6    	5    	2    	10   	6    	3    	4    	5    	3    	10   	4    	
Vardas378           Pavarde378          5    	3    	1    	1    	9    	9    	2    	3    	2    	6    	3    	
Vardas379           Pavarde379          2    	4    	10   	6    	5    	4    	10   	5    	10   	10   	6    	
Vardas380           Pavarde380          10   	5    	2    	4    	7    	8    	8    	3    	6    	10   	4    	
Vardas381           Pavarde381          3    	10   	6    	1    	7    	5    	4    	3    	6    	7    	9    	
Vardas382           Pavarde382          9    	6    	1    	5    	2    	5    	7    	9    	6    	8    	7    	
Vardas383           Pavarde383          8    	1    	8    	10   	5    	3    	1    	5    	1    	4    	4    	
Vardas384           Pavarde384          6    	10   	10   	6    	6    	4    	3    	2    	6    	6    	10   	
Vardas385           Pavarde385          3    	5    	6    	6    	2    	9    	3    	6    	5    	10   	9    	
Vardas386           Pavarde386          10   	3    	2    	6    	2    	6    	10   	8    	10   	3    	3    	
Vardas387           Pavarde387          1    	8    	8    	2    	8    	7    	7    	1    	7    	10   	6    	
Vardas388           Pavarde388          3    	2    	1    	5    	5    	5    	5    	7    	1    	5    	7    	
Vardas389           Pavarde389          9    	10   	4    	3    	4    	8    	2    	6    	2    	10   	3    	
Vardas390           Pavarde390          9    	9    	8    	4    	7    	8    	6    	1    	9    	6    	8    	
Vardas391           Pavarde391          2    	6    	7    	9    	4    	8    	1    	1    	5    	9    	10   	
Vardas392           Pavarde392          10   	1    	9    	4    	10   	8    	1    	1    	3    	4    	8    	
Vardas393           Pavarde393          1    	5    	10   	4    	4    	2    	4    	9    	1    	6    	4    	
Vardas394           Pavarde394          10   	5    	3    	3    	7    	9    	3    	7    	7    	5    	3    	
Vardas395           Pavarde395          5    	2    	5    	7    	1    	2    	9    	1    	7    	3    	5    	
Vardas396           Pavarde396          1    	4    	9    	4    	2    	10   	2    	2    	8    	2    	1    	
Vardas397           Pavarde397          1    	7    	9    	7    	2    	9    	10   	8    	1    	4    	6    	
Vardas398           Pavarde398          6    	8    	6    	4    	1    	6    	8    	8    	10   	10   	2    	
Vardas399           Pavarde399          8    	10   	6    	3    	10   	3    	8    	7    	10   	9    	5    	
Vardas400           Pavarde400          7    	6    	5    	6    	4    	2    	10   	9    	4    	7    	2    	
Vardas401           Pavarde401          4    	5    	9    	4    	3    	4    	5    	10   	3    	9    	5    	
Vardas402           Pavarde402          10   	10   	9    	9    	2    	5    	4    	4    	6    	10   	8    	
Vardas403           Pavarde403          10   	6    	4    	5    	8    	4    	3    	8    	4    	4    	3    	
Vardas404           Pavarde404          4    	8    	8    	5    	2    	7    	8    	4    	3    	9    	3    	
Vardas405           Pavarde405          3    	5    	4    	7    	10   	7    	6    	2    	1    	9    	3    	
Vardas406           Pavarde406          10   	10   	7    	4    	2    	5    	1    	6    	5    	10   	4    	
Vardas407           Pavarde407          4    	9    	9    	9    	2    	8    	5    	7    	10   	5    	6    	
Vardas408           Pavarde408          7    	8    	6    	8    	3    	6    	5    	10   	5    	10   	5    	
Vardas409           Pavarde409          2    	7    	10   	9    	2    	5    	5    	3    	10   	5    	6    	
Vardas410           Pavarde410          1    	3    	1    	3    	10   	7    	4    	9    	6    	3    	9    	
Vardas411           Pavarde411          8    	9    	5    	1    	2    	8    	7    	10   	5    	4    	3    	
Vardas412           Pavarde412          2    	4    	8    	2    	5    	4    	3    	3    	4    	2    	5    	
Vardas413           Pavarde413          4    	9    	6    	6    	7    	1    	5    	10   	6    	4    	7    	
Vardas414           Pavarde414          6    	7    	4    	6    	6    	7    	8    	7    	1    	10   	4    	
Vardas415           Pavarde415          2    	1    	8    	1    	10   	1    	3    	1    	6    	3    	9    	
Vardas416           Pavarde416          3    	5    	1    	9    	1    	6    	4    	2    	10   	3    	3    	
Vardas417           Pavarde417          7    	7    	1    	8    	6    	4    	3    	8    	4    	7    	5    	
Vardas418           Pavarde418          7    	7    	3    	10   	7    	8    	1    	1    	6    	1    	9    	
Vardas419           Pavarde419          10   	9    	10   	8    	6    	5    	6    	4    	5    	10   	6    	
Vardas420           Pavarde420          3    	4    	3    	8    	1    	8    	2    	5    	3    	8    	1    	
Vardas421           Pavarde421          10   	6    	2    	7    	2    	9    	1    	9    	3    	1    	7    	
Vardas422           Pavarde422          8    	4    	6    	10   	2    	5    	6    	8    	2    	4    	2    	
Vardas423           Pavarde423          2    	5    	4    	4    	3    	8    	2    	9    	5    	2    	2    	
Vardas424           Pavarde424          5    	2    	9    	6    	3    	9    	7    	1    	5    	10   	1    	
Vardas425           Pavarde425          10   	4    	9    	2    	9    	10   	6    	9    	7    	5    	5    	
Vardas426           Pavarde426          5    	6    	7    	4    	8    	6    	4    	4    	1    	7    	9    	
Vardas427           Pavarde427          2    	1    	4    	7    	4    	2    	4    	1    	1    	1    	3    	
Vardas428           Pavarde428          4    	6    	1    	1    	9    	8    	1    	8    	1    	6    	10   	
Vardas429           Pavarde429          1    	10   	3    	10   	6    	9    	4    	4    	6    	10   	6    	
Vardas430           Pavarde430          4    	4    	3    	3    	8    	6    	8    	2    	3    	2    	7    	
Vardas431           Pavarde431          1    	5    	2    	2    	4    	1    	7    	2    	6    	2    	9    	
Vardas432           Pavarde432          8    	8    	7    	8    	4    	10   	8    	5    	1    	2    	8    	
Vardas433           Pavarde433          2    	2    	6    	6    	6    	7    	8    	8    	9    	10   	8    	
Vardas434           Pavarde434          1    	7    	3    	5    	8    	10   	1    	1    	1    	4    	8    	
Vardas435           Pavarde435          4    	9    	5    	3    	4    	2    	9    	5    	5    	7    	9    	
Vardas436           Pavarde436          2    	10   	1    	7    	5    	3    	6    	6    	8    	3    	9    	
Vardas437           Pavarde437          10   	8    	10   	10   	4    	10   	9    	10   	10   	3    	7    	
Vardas438           Pavarde438          7    	2    	2    	1    	2    	4    	2    	1    	10   	2    	10   	
Vardas439           Pavarde439          2    	4    	8    	6    	3    	3    	7    	2    	3    	8    	10   	
Vardas440           Pavarde440          4    	10   	5    	7    	5    	3    	6    	8    	4    	1    	1    	
Vardas441           Pavarde441          4    	1    	6    	10   	9    	10   	6    	5    	4    	1    	5    	
Vardas442           Pavarde442          7    	6    	9    	3    	2    	1    	6    	6    	10   	4    	2    	
Vardas443           Pavarde443          2    	7    	2    	9    	3    	1    	10   	1    	5    	6    	10   	
Vardas444           Pavarde444          2    	6    	3    	4    	8    	4    	2    	8    	9    	10   	1    	
Vardas445           Pavarde445          8    	6    	1    	8    	5    	8    	6    	1    	10   	4    	10   	
Vardas446           Pavarde446          5    	8    	5    	7    	4    	5    	6    	10   	8    	5    	1    	
Vardas447           Pavarde447          1    	10   	6    	7    	1    	5    	2    	2    	4    	6    	4    	
Vardas448           Pavarde448          1    	4    	6    	3    	1    	1    	6    	8    	4    	7    	2    	
Vardas449           Pavarde449          1    	8    	1    	9    	2    	6    	4    	4    	10   	3    	5    	
Vardas450           Pavarde450          9    	5    	6    	3    	10   	5    	3    	8    	4    	4    	6    	
Vardas451           Pavarde451          3    	6    	3    	2    	6    	1    	1    	10   	10   	9    	4    	
Vardas452           Pavarde452          1    	10   	10   	6    	6    	7    	10   	6    	6    	6    	3    	
Vardas453           Pavarde453          7    	5    	4    	5    	9    	4    	2    	6    	7    	3    	5    	
Vardas454           Pavarde454          1    	8    	5    	3    	7    	1    	3    	2    	6    	2    	2    	
Vardas455           Pavarde455          10   	10   	4    	2    	7    	8    	10   	1    	6    	5    	8    	
Vardas456           Pavarde456          9    	9    	4    	8    	7    	7    	1    	4    	5    	1    	4    	
Vardas457           Pavarde457          4    	1    	10   	6    	2    	4    	7    	10   	7    	3    	2    	
Vardas458           Pavarde458          9    	5    	8    	10   	6    	5    	6    	8    	3    	4    	10   	
Vardas459           Pavarde459          4    	4    	3    	4    	2    	8    	10   	9    	2    	3    	2    	
Vardas460           Pavarde460          1    	6    	9    	10   	9    	4    	10   	7    	1    	10   	6    	
Vardas461           Pavarde461          3    	6    	7    	3    	5    	7    	10   	5    	7    	8    	9    	
Vardas462           Pavarde462          8    	7    	6    	2    	4    	10   	6    	10   	3    	10   	5    	
Vardas463           Pavarde463          1    	3    	5    	9    	9    	1    	8    	8    	3    	4    	8    	
Vardas464           Pavarde464          3    	7    	7    	6    	2    	2    	10   	7    	10   	5    	1    	
Vardas465           Pavarde465          4    	2    	5    	8    	4    	9    	1    	3    	4    	10   	5    	
Vardas466           Pavarde466          8    	6    	10   	5    	3    	5    	4    	5    	4    	5    	1    	
Vardas467           Pavarde467          5    	1    	6    	1    	7    	9    	3    	10   	10   	10   	6    	
Vardas468           Pavarde468          9    	8    	6    	1    	8    	3    	10   	4    	2    	10   	2    	
Vardas469           Pavarde469          4    	8    	2    	6    	9    	9    	2    	8    	1    	7    	3    	
Vardas470           Pavarde470          9    	8    	6    	7    	4    	4    	7    	3    	5    	8    	5    	
Vardas471           Pavarde471          2    	10   	5    	6    	10   	6    	4    	9    	1    	1    	5    	
Vardas472           Pavarde472          9    	1    	7    	4    	4    	1    	5    	2    	1    	1    	4    	
Vardas473           Pavarde473          8    	8    	5    	8    	6    	6    	1    	3    	2    	3    	1    	
Vardas474           Pavarde474          7    	10   	7    	3    	6    	3    	2    	1    	10   	5    	1    	
Vardas475           Pavarde475          4    	9    	7    	10   	6    	4    	2    	10   	10   	3    	2    	
Vardas476           Pavarde476          3    	10   	1    	10   	7    	7    	7    	6    	3    	1    	9    	
Vardas477           Pavarde477          4    	1    	8    	7    	7    	1    	3    	4    	10   	3    	5    	
Vardas478           Pavarde478          5    	8    	10   	1    	6    	6    	2    	7    	9    	9    	2    	
Vardas479           Pavarde479          1    	6    	7    	3    	9    	1    	4    	4    	5    	9    	5    	
Vardas480           Pavarde480          9    	7    	4    	4    	7    	5    	2    	1    	2    	6    	10   	
Vardas481           Pavarde481          1    	10   	2    	7    	4    	7    	1    	4    	7    	10   	10   	
Vardas482           Pavarde482          2    	1    	9    	7    	6    	1    	3    	4    	5    	1    	6    	
Vardas483           Pavarde483          10   	3    	7    	9    	5    	6    	8    	7    	3    	6    	3    	
Vardas484           Pavarde484          1    	7    	5    	1    	7    	3    	1    	5    	9    	2    	7    	
Vardas485           Pavarde485          4    	1    	7    	8    	4    	9    	5    	2    	7    	9    	9    	
Vardas486           Pavarde486          5    	2    	6    	5    	2    	5    	6    	10   	4    	3    	9    	
Vardas487           Pavarde487          4    	6    	4    	10   	7    	8    	7    	10   	6    	5    	1    	
Vardas488           Pavarde488          3    	1    	3    	2    	5    	1    	4    	3    	4    	9    	8    	
Vardas489           Pavarde489          7    	10   	5    	3    	3    	7    	4    	10   	1    	10   	10   	
Vardas490           Pavarde490          6    	9    	8    	2    	1    	8    	3    	2    	1    	6    	5    	
Vardas491           Pavarde491          7    	6    	7    	7    	2    	1    	5    	8    	6    	3    	1    	
Vardas492           Pavarde492          8    	1    	9    	5    	4    	10   	8    	4    	5    	9    	1    	
Vardas493           Pavarde493          4    	5    	1    	9    	8    	6    	6    	2    	2    	6    	9    	
Vardas494           Pavarde494          9    	3    	10   	9    	9    	4    	7    	2    	7    	3    	8    	
Vardas495           Pavarde495          3    	8    	5    	6    	5    	2    	2    	1    	7    	3    	5    	
Vardas496           Pavarde496          7    	4    	3    	1    	5    	3    	9    	6    	1    	3    	3    	
Vardas497           Pavarde497          6    	5    	2    	1    	6    	10   	3    	4    	5    	5    	2    	
Vardas498           Pavarde498          1    	4    	9    	1    	5    	4    	4    	9    	1    	6    	3    	
Vardas499           Pavarde499          4    	6    	5    	8    	6    	4    	3    	10   	5    	8    	5    	
Vardas500           Pavarde500          2    	4    	8    	4    	6    	6    	8    	6    	10   	10   	2    	
Vardas501           Pavarde501          3    	10   	6    	5    	7    	5    	4    	6    	2    	8    	10   	
Vardas502           Pavarde502          5    	8    	10   	10   	9    	2    	4    	10   	9    	3    	10   	
Vardas503           Pavarde503          3    	7    	4    	7    	1    	1    	1    	7    	3    	8    	9    	
Vardas504           Pavarde504          8    	2    	1    	3    	5    	7    	9    	6    	10   	9    	3    	
Vardas505           Pavarde505          4    	5    	1    	10   	10   	4    	6    	9    	4    	5    	9    	
Vardas506           Pavarde506          6    	4    	1    	7    	9    	6    	6    	9    	6    	4    	7    	
Vardas507           Pavarde507          9    	6    	5    	10   	1    	10   	6    	10   	4    	4    	1    	
Vardas508           Pavarde508          5    	6    	1    	8    	6    	5    	2    	6    	1    	4    	3    	
Vardas509           Pavarde509          8    	5    	10   	5    	4    	1    	4    	1    	4    	1    	6    	
Vardas510           Pavarde510          10   	1    	1    	2    	6    	8    	10   	10   	7    	3    	3    	
Vardas511           Pavarde511          4    	3    	3    	7    	8    	7    	1    	8    	7    	2    	6    	
Vardas512           Pavarde512          6    	6    	9    	7    	4    	10   	1    	5    	4    	9    	1    	
Vardas513           Pavarde513          10   	2    	1    	2    	4    	5    	6    	4    	10   	10   	2    	
Vardas514           Pavarde514          4    	5    	1    	10   	8    	4    	6    	6    	6    	3    	1    	
Vardas515           Pavarde515          10   	1    	1    	6    	4    	2    	9    	1    	1    	10   	6    	
Vardas516           Pavarde516          8    	4    	9    	2    	2    	5    	1    	5    	7    	9    	9    	
Vardas517           Pavarde517          1    	7    	2    	3    	9    	9    	6    	6    	3    	4    	3    	
Vardas518           Pavarde518          6    	6    	7    	1    	2    	4    	1    	5    	4    	9    	7    	
Vardas519           Pavarde519          5    	2    	7    	7    	8    	9    	2    	2    	2    	6    	4    	
Vardas520           Pavarde520          4    	7    	3    	1    	1    	2    	5    	1    	4    	1    	9    	
Vardas521           Pavarde521          5    	1    	8    	6    	10   	5    	6    	5    	8    	10   	5    	
Vardas522           Pavarde522          10   	9    	1    	8    	3    	4    	7    	2    	6    	2    	6    	
Vardas523           Pavarde523          3    	2    	2    	1    	2    	2    	4    	9    	5    	3    	9    	
Vardas524           Pavarde524          4    	5    	4    	2    	8    	8    	8    	10   	10   	5    	3    	
Vardas525           Pavarde525          7    	3    	4    	10   	10   	4    	9    	8    	2    	7    	7    	
Vardas526           Pavarde526          1    	5    	5    	9    	9    	2    	5    	6    	10   	7    	9    	
Vardas527           Pavarde527          7    	4    	4    	5    	3    	6    	7    	8    	3    	9    	5    	
Vardas528           Pavarde528          3    	10   	8    	1    	2    	9    	1    	5    	2    	2    	8    	
Vardas529           Pavarde529          7    	6    	5    	8    	9    	4    	6    	4    	2    	9    	6    	
Vardas530           Pavarde530          2    	4    	5    	6    	2    	6    	7    	1    	7    	7    	9    	
Vardas531           Pavarde531          10   	5    	7    	1    	2    	1    	8    	5    	7    	4    	4    	
Vardas532           Pavarde532          4    	1    	1    	5    	5    	3    	6    	2    	4    	9    	6    	
Vardas533           Pavarde533          9    	9    	6    	6    	9    	8    	10   	9    	5    	10   	4    	
Vardas534           Pavarde534          9    	4    	1    	7    	3    	6    	4    	3    	3    	7    	10   	
Vardas535           Pavarde535          3    	5    	7    	3    	6    	10   	3    	10   	7    	6    	8    	
Vardas536           Pavarde536          2    	4    	7    	2    	1    	1    	4    	3    	6    	3    	2    	
Vardas537           Pavarde537          6    	7    	8    	10   	9    	4    	7    	2    	8    	10   	10   	
Vardas538           Pavarde538          2    	10   	3    	9    	1    	6    	9    	6    	10   	10   	1    	
Vardas539           Pavarde539          6    	2    	6    	9    	6    	1    	8    	9    	10   	4    	9    	
Vardas540           Pavarde540          7    	3    	6    	1    	1    	7    	6    	1    	4    	5    	4    	
Vardas541           Pavarde541          8    	2    	6    	7    	7    	2    	4    	7    	6    	10   	5    	
Vardas542           Pavarde542          5    	7    	10   	5    	5    	10   	8    	4    	10   	1    	1    	
Vardas543           Pavarde543          1    	7    	1    	1    	7    	4    	1    	4    	7    	4    	8    	
Vardas544           Pavarde544          2    	2    	10   	1    	2    	6    	2    	8    	8    	6    	4    	
Vardas545           Pavarde545          4    	1    	6    	7    	5    	1    	9    	2    	7    	9    	10   	
Vardas546           Pavarde546          6    	6    	1    	3    	9    	7    	4    	2    	8    	10   	4    	
Vardas547           Pavarde547          8    	8    	9    	10   	6    	10   	9    	8    	2    	6    	6    	
Vardas548           Pavarde548          6    	7    	1    	6    	2    	8    	8    	5    	5    	3    	8    	
Vardas549           Pavarde549          2    	1    	3    	5    	2    	9    	7    	10   	1    	10   	5    	
Vardas550           Pavarde550          6    	9    	9    	3    	10   	10   	2    	3    	7    	7    	2    	
Vardas551           Pavarde551          8    	2    	9    	1    	6    	6    	3    	4    	3    	8    	4    	
Vardas552           Pavarde552          2    	4    	6    	3    	1    	2    	1    	8    	5    	8    	8    	
Vardas553           Pavarde553          5    	5    	5    	7    	10   	3    	3    	6    	7    	9    	2    	
Vardas554           Pavarde554          4    	4    	7    	1    	2    	8    	1    	5    	3    	2    	6    	
Vardas555           Pavarde555          6    	9    	5    	10   	2    	10   	9    	6    	8    	6    	4    	
Vardas556           Pavarde556          7    	6    	1    	9    	3    	5    	4    	5    	4    	5    	8    	
Vardas557           Pavarde557          1    	7    	3    	7    	8    	9    	1    	6    	7    	9    	7    	
Vardas558           Pavarde558          10   	5    	4    	3    	6    	3    	3    	8    	3    	5    	5    	
Vardas559           Pavarde559          5    	9    	2    	8    	5    	5    	6    	8    	3    	5    	5    	
Vardas560           Pavarde560          6    	4    	8    	7    	9    	8    	1    	5    	1    	8    	10   	
Vardas561           Pavarde561          8    	6    	10   	3    	5    	3    	3    	10   	9    	9    	2    	
Vardas562           Pavarde562          3    	3    	9    	5    	9    	7    	5    	7    	6    	3    	8    	
Vardas563           Pavarde563          6    	7    	2    	1    	1    	5    	6    	6    	9    	1    	8    	
Vardas564           Pavarde564          2    	7    	10   	7    	10   	7    	8    	2    	9    	3    	4    	
Vardas565           Pavarde565          7    	9    	10   	1    	5    	3    	1    	5    	7    	10   	6    	
Vardas566           Pavarde566          7    	7    	9    	5    	6    	2    	8    	9    	8    	10   	5    	
Vardas567           Pavarde567          5    	7    	4    	10   	3    	2    	9    	10   	2    	7    	5    	
Vardas568           Pavarde568          8    	4    	4    	10   	9    	4    	2    	2    	8    	4    	1    	
Vardas569           Pavarde569          9    	5    	4    	2    	9    	2    	3    	2    	6    	1    	8    	
Vardas570           Pavarde570          4    	8    	4    	4    	10   	7    	2    	7    	10   	10   	6    	
Vardas571           Pavarde571          3    	10   	7    	5    	9    	10   	3    	8    	4    	5    	8    	
Vardas572           Pavarde572          1    	2    	8    	1    	8    	1    	3    	2    	7    	8    	2    	
Vardas573           Pavarde573          3    	3    	8    	8    	9    	9    	1    	5    	1    	1    	1    	
Vardas574           Pavarde574          10   	8    	3    	9    	7    	9    	1    	8    	7    	6    	9    	
Vardas575           Pavarde575          5    	6    	8    	10   	8    	10   	9    	2    	8    	7    	8    	
Vardas576           Pavarde576          2    	2    	9    	3    	7    	7    	7    	3    	3    	9    	6    	
Vardas577           Pavarde577          1    	1    	5    	1    	8    	3    	1    	5    	3    	7    	1    	
Vardas578           Pavarde578          7    	5    	7    	1    	1    	5    	2    	10   	2    	3    	7    	
Vardas579           Pavarde579          5    	5    	3    	6    	2    	3    	3    	8    	7    	9    	3    	
Vardas580           Pavarde580          4    	6    	7    	10   	9    	7    	4    	5    	8    	5    	4    	
Vardas581           Pavarde581          8    	7    	8    	2    	6    	6    	5    	1    	8    	8    	9    	
Vardas582           Pavarde582          2    	1    	1    	2    	8    	9    	7    	9    	1    	6    	4    	
Vardas583           Pavarde583          2    	10   	8    	3    	3    	6    	10   	6    	5    	1    	2    	
Vardas584           Pavarde584          5    	1    	5    	9    	7    	4    	8    	8    	4    	8    	5    	
Vardas585           Pavarde585          8    	10   	1    	7    	9    	6    	4    	5    	1    	3    	4    	
Vardas586           Pavarde586          1    	5    	5    	7    	2    	10   	9    	8    	4    	1    	2    	
Vardas587           Pavarde587          7    	8    	2    	2    	4    	4    	7    	9    	8    	2    	3    	
Vardas588           Pavarde588          7    	6    	1    	9    	7    	2    	7    	10   	6    	1    	4    	
Vardas589           Pavarde589          2    	4    	1    	6    	2    	8    	3    	3    	3    	3    	8    	
Vardas590           Pavarde590          3    	6    	8    	4    	9    	9    	2    	2    	10   	10   	7    	
Vardas591           Pavarde591          10   	2    	3    	6    	8    	10   	4    	4    	2    	6    	3    	
